카페,카페 도로명 주소,위도,경도,평균평점,평균가격,공부환경점수,매장이 청결해요,좌석이 편해요,집중하기 좋아요,카테고리 총 투표수,지역 위치
콜마르브레드(어은동),34139 대전광역시 유성구 어은로 52 엘리트독서실 콜마르브레드,36.3629612,127.3570244,4.5,3178.571,0.07304786,29,0,0,397,어은동
스타벅스 대전유성구청점(어은동),34139 대전광역시 유성구 어은로 42 스타벅스,36.362206,127.3577047,4.49,5818.75,0.14129444,106,15,34,1097,어은동
빽다방 대전유성구청점(어은동),34139 대전광역시 유성구 어은로58번길 2 동천빌딩 1층 빽다방,36.363277,127.3567599,4,4085.965,0.08823529,31,2,0,374,어은동
메가MGC커피 대전유성구청점(어은동),34139 대전광역시 유성구 어은로48번길 12 메가커피 대전유성구청점,36.362786,127.357798,4.46,3457.143,0.08108108,25,10,1,444,어은동
파리바게뜨 대전한빛점(어은동),"34139 대전광역시 유성구 어은로51번길 2 [유성구청 뒤, 한빛APT 정문] 파리바게뜨",36.3623035,127.3560786,4.35,3911.321,0.17247098,74,20,10,603,어은동
드르쿰다From제주(월평동),35275 대전광역시 서구 계룡로314번길 8 드르쿰다From제주,36.3533834,127.3630214,4.2,6073.529,0.09731396,114,89,18,2271,월평동
펄스맥 팩토리(월평동),35221 대전광역시 서구 월평로13번길 52 펄스맥 팩토리,36.357191,127.3591264,4.61,5860.656,0.10645161,33,0,0,310,월평동
아임일리터(월평동),35225 대전광역시 서구 월평로 46 아이엠일리터 1층 아임일리터,36.3559803,127.3620935,3.9,4470.833,0.10487805,24,14,5,410,월평동
스타벅스 월평트레이더스점(월평동),35222 대전광역시 서구 한밭대로 580 스타벅스,36.3576398,127.3629947,4.45,5818.75,0.11090314,161,48,28,2137,월평동
배스킨라빈스 대전월평트레이더스(월평동),35222 대전광역시 서구 한밭대로 580 1층 배스킨라빈스,36.3576398,127.3629947,4.47,4626.667,0.1190244,111,4,7,1025,월평동
카페드롭탑 대전(월평동),35274 대전광역시 서구 계룡로264번길 41 카페드롭탑,36.353177,127.361073,4.41,4985.714,0.19688,35,16,12,320,월평동
오브떼르(구암동),34180 대전광역시 유성구 월드컵대로351번길 5 오브떼르,36.349396,127.3387983,5,6464.286,0.00629921,0,4,0,635,구암동
폴인레미유 대전점(구암동),34177 대전광역시 유성구 유성대로668번길 99 폴인레미유,36.35216,127.3351445,5,5993.75,0.04043546,25,1,0,643,구암동
스타벅스 대전구암DT점(구암동),34181 대전광역시 유성구 월드컵대로289번길 6 스타벅스,36.3501524,127.333093,4.5,5818.75,0.1507782,193,65,52,2056,구암동
드롭탑 유성복합터미널DT점(구암동),34176 대전광역시 유성구 유성대로680번길 1-11 드롭탑,36.354299,127.3310106,4.72,4985.714,0.22509225,57,40,25,542,구암동
투썸플레이스 대전(장대동),34172 대전광역시 유성구 유성대로 756 1층 투썸플레이스,36.3598,127.3349,4.2,5770.513,0.19713262,44,38,28,558,장대동
스타벅스 대전(장대동),34165 대전광역시 유성구 유성대로 781 스타벅스,36.3621,127.3362,4.1,5818.75,0.15789474,99,35,34,1064,장대동
뚜레쥬르 대전(장대동),34171 대전광역시 유성구 문화원로 2 뚜레쥬르,36.3617531,127.3368179,4.3,4113.333,0.0976253,35,1,1,379,장대동
